domain,dataset,problem_id,problem_key,run_index,is_correct,parse_ok,think_chars,think_total_chars,knot_present,knot_present_bin,knot_severity,primary_trigger,trace_strategy,reversal_count,state_consistency,recovers_later,annotator_confidence,knot_quote,open_diagnosis,knot_symptoms,knot_count,sym_case_split_instability,sym_assumption_drift,sym_subgoal_frame_loss,sym_variable_binding_drift,sym_invariant_drift,sym_repair_without_recovery
math,aime24,70,aime24:70,37,0,1,15618,83833,yes,1,2,symbol_binding,symbolic_manipulation,1,recovered_break,yes,medium,"Let me denote E as (e, 0), where e is between 0 and 107 or maybe beyond. But let's suppose it's between D and C first.","The model drifts between different variable bindings for point E, leading to an inconsistency in the coordinate system. The inconsistency is later corrected.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime24,70,aime24:70,41,1,1,15617,30070,yes,1,2,symbol_binding,symbolic_manipulation,1,recovered_break,yes,medium,"Let me set D at (0, 0). Then since ABCD is a rectangle, then if I can assign coordinates to other points. Let me assume that side DC is horizontal. Wait, but if D, E, C, F are collinear, then DC is part of that line. So if DC is horizontal, then the line is horizontal. Let me proceed.","The model's initial assumption that DC is horizontal and the line D-E-C-F is horizontal is later contradicted by the collinearity of D, E, C, F. The model does not immediately correct this assumption, leading to a temporary confusion in the variable binding for the line's orientation.",assumption_drift|variable_binding_drift,2,0,1,0,1,0,0
math,aime24,70,aime24:70,47,0,1,15618,66021,yes,1,2,symbol_binding,symbolic_manipulation,1,recovered_break,yes,medium,"Let me set point A at (0, 0). Then AB is horizontal with length 107, so point B is at (107, 0). Then BC is vertical with length 16, so point C is at (107, 16). Then CD is horizontal back to D, which would be at (0, 16). Then DA is vertical back t","The model's variable binding for points A, B, C, and D is inconsistent with the rectangle's properties, leading to a repair without recovery. The model later corrects the coordinates but does not acknowledge the initial inconsistency.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime24,70,aime24:70,50,1,1,15619,34518,yes,1,2,symbol_binding,symbolic_manipulation,1,recovered_break,yes,medium,"Let me assign coordinates: Let me take point A at (0, 0). Then, since AB = 107, point B would be at (107, 0). Then BC = 16, so moving up from B, point C would be at (107, 16). Then, since it's a rectangle, point D would be at (0, 16). Wait, but then DC would be from D(0,16) to C(107,16), which is length 107, same as AB. And AD is from A(0,0) to D(0,16), which is length 16, same as BC. So that works. So rectangle ABCD has coordinates A(0,0), B(107,0), C(107,16), D(0,16). Wait, but then D is at (0,16), C is at (107,16). Then, points D, E, C are collinear. So D(0,16), E, and C(107,16) lie on a straight line. Since D and C are both on y = 16, so the line DC is horizontal. Therefore, E must also lie on the line y = 16. So E is somewhere on the line y = 16. But E is a vertex of rectangle EFGH. Also, the rectangle EFGH has sides EF = 184 and FG = 17. So, need to figure out coordinates of EFGH.","The model attempts to assign coordinates to the points of the rectangles but then loses track of the coordinate assignment, leading to confusion about the positions of points E and the rectangle EFGH.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime24,87,aime24:87,3,1,1,15618,59920,yes,1,2,assumption_tracking,symbolic_manipulation,1,recovered_break,yes,medium,"Therefore, there must be a calculation mistake in the verification. Wait, let me check Equation 1 again with the values. Equation 1: 6 + 2B + 3C + D ≡ 0 mod7. For B=4, C=3, D=7: 6 + 8 + 9 +7 = 30. 30 divided by 7 is 4*7=28, remainder 2. Therefore, 30 ≡ 2 mod7. Which is not 0. Therefore, Equation 1 is not satisfied. Therefore, something is wrong here.","The model drifted from the assumption that the original equations were correct and attempted to verify them with specific values, leading to a temporary loss of control over the active assumption. The model later corrected this by re-evaluating the equations and finding the mistake in the calculation.",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,aime24,87,aime24:87,11,0,1,15619,71732,yes,1,2,assumption_tracking,symbolic_manipulation,1,recovered_break,yes,medium,"Therefore, these are the same as before. Let me try to solve these equations again for A=8, B=8, C=8, D=8.","The model drifts from the correct assumption that N ≡ 0 mod 7 and instead tries to solve for N with A=8, B=8, C=8, D=8, which leads to a contradiction.",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,aime24,87,aime24:87,34,0,1,15619,71284,yes,1,2,assumption_tracking,symbolic_manipulation,1,recovered_break,yes,medium,"Therefore, N ≡ -1000(1 - A) mod 7. Similarly, we can write similar congruences for the other conditions.","The model drifts from the assumption that N ≡ -1000(1 - A) mod 7 to writing similar congruences without explicitly stating the same assumption for each. This leads to a repair without recovery, as the subsequent congruences are not derived from the initial assumption.",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,aime24,87,aime24:87,57,1,1,15620,54234,yes,1,2,assumption_tracking,symbolic_manipulation,1,recovered_break,yes,medium,"Therefore, if all four hold, then they are equal. Therefore, for example, -6*(1 - d1) ≡ -2*(1 - d2) mod7. Which led me to 3*(1 - d1) ≡ (1 - d2) mod7. But maybe I made a mistake in the algebra here?","The model drifts from the assumption that all congruences must be equal and then revisits the algebra without correcting the initial assumption, leading to a repair without recovery.",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,aime25,19,aime25:19,26,0,1,15619,79713,yes,1,2,symbol_binding,symbolic_manipulation,1,recovered_break,yes,medium,"BD is the median from B, since it's from B to D, midpoint of AC? BD is from B to D, D is midpoint of BC, so BD is not a median.","The model incorrectly identifies BD as a median based on the midpoint of AC, which is a confusion of the roles of BD and D. The model later corrects this by clarifying that BD is part of BC, not AC.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime25,19,aime25:19,54,1,1,15618,80327,yes,1,2,symbol_binding,case_analysis,1,recovered_break,yes,medium,"BD is the line from B to D, D is midpoint of BC. So BD is a median? No, BD is from B to midpoint of BC, but in triangle ABC, from vertex B, the median would be to the midpoint of AC, which is E.","The model incorrectly identifies BD as a median based on its position relative to BC, but later corrects this by clarifying that BD is not a median from B, but rather from B to the midpoint of BC.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime25,19,aime25:19,55,1,1,15618,57030,yes,1,2,symbol_binding,symbolic_manipulation,1,recovered_break,yes,medium,"Now, the arc is from 180° to 252°, so central angle 252° - 180° = 72°. But is this the minor arc? From 180 to 252 is 72°, and the other way is 360 - 72 = 288°, so yes minor arc is","The model incorrectly assumes that the central angle between two points on a circle is the difference between their angles from the center, without considering the direction of the arc. This leads to a confusion about whether the arc is minor or major, but the error is corrected later.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime25,19,aime25:19,56,0,1,15617,92803,yes,1,2,symbol_binding,symbolic_manipulation,1,recovered_break,yes,medium,"Now, the arcs between D,E,F: arc DE = 72°, arc EF = 120°, arc FD = 120°? FD is arc FD, but in order.","The model incorrectly identifies arc FD as the same as arc DF, leading to confusion in the subsequent reasoning about the arcs. This was a variable binding drift that was later corrected.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime25,8,aime25:8,8,1,1,15618,48459,no,0,0,none,symbolic_manipulation,0,stable,no,high,,"The reasoning provided is consistent and maintains a stable control of the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,0,0,0,0,0,0,0
math,aime25,8,aime25:8,50,0,1,15619,61499,yes,1,2,symbol_binding,symbolic_manipulation,1,recovered_break,yes,medium,"Let (x,y) be a point in the plane. After inverse rotation, it becomes: Let me denote the inverse rotation as: [Matrix transformation equation here] So, x'' = [Equation here] This point (x'', y'' ...","The model drifts in its variable binding, using 'x''' and 'y''' without defining them properly, and later attempts to correct this by redefining them, but the correction is incomplete.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime25,8,aime25:8,58,1,1,15618,41841,no,0,0,none,symbolic_manipulation,0,stable,no,high,,The reasoning is consistent and follows a logical path without any breaks in the active state.,none,0,0,0,0,0,0,0
math,aime25,8,aime25:8,60,0,1,15618,59210,yes,1,2,assumption_tracking,symbolic_manipulation,1,recovered_break,yes,medium,"The rotated parabola consists of all points (x,y) such that when we apply the inverse rotation to (x,y), we get a point that satisfies the original parabola.","The model drifts from the assumption that the inverse rotation of the rotated parabola should satisfy the original parabola, leading to a repair without recovery. This assumption is later corrected.",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,brumo25,brumo25-28,brumo25:brumo25-28,20,1,1,15619,33935,no,0,0,none,symbolic_manipulation,0,stable,no,high,,The reasoning is consistent and maintains a stable control of the active assumptions and symbols throughout the trace.,none,0,0,0,0,0,0,0
math,brumo25,brumo25-28,brumo25:brumo25-28,29,0,1,15619,51439,no,0,0,none,symbolic_manipulation,0,stable,no,high,,The reasoning is consistent and maintains a stable control of the active assumptions and symbols throughout the trace.,none,0,0,0,0,0,0,0
math,brumo25,brumo25-28,brumo25:brumo25-28,39,1,1,15619,51864,yes,1,1,assumption_tracking,symbolic_manipulation,1,recovered_break,yes,medium,"But the question is to find f(90) - 1/90². Now, f is defined to interpolate 1/k² at those 8 points, but 1/k² is a rational function, not a polynomial, so f is an interpolating polynomial of degree at most 7 for the function g(x) = 1/x² at the points x=2,6,12,20,30,42,56,72.","The model initially drifts from the assumption that f is a polynomial to considering it as an interpolating polynomial for a rational function, which is a correction but not immediately followed by a clear explanation of how this affects the calculation of f(90).",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,brumo25,brumo25-28,brumo25:brumo25-28,58,0,1,15618,64795,yes,1,2,symbol_binding,symbolic_manipulation,1,recovered_break,yes,medium,1/[n(n+1)]² = A/n + B/n² + C/(n+1) + D/(n+1)²,"The model incorrectly sets n=-1 in the partial fraction decomposition, leading to an undefined expression. This was a variable binding drift, and the model corrected it by noting that n cannot be -1.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,hmmt25,hmmt25-11,hmmt25:hmmt25-11,2,1,1,15618,68921,no,0,0,none,case_analysis,0,stable,yes,high,,"The reasoning provided is consistent and maintains a stable control of the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,0,0,0,0,0,0,0
math,hmmt25,hmmt25-11,hmmt25:hmmt25-11,28,0,1,15616,85579,no,0,0,none,case_analysis,0,stable,yes,high,,"The reasoning provided is consistent and maintains a stable control of the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,0,0,0,0,0,0,0
math,hmmt25,hmmt25-11,hmmt25:hmmt25-11,48,0,1,15618,94249,yes,1,2,assumption_tracking,case_analysis,1,recovered_break,yes,medium,"But in this case, since it's a grid, and we're removing vertices, we need to make sure that (1,1) and (3,3) are in different components or no path exists.","The model drifts from the assumption that removing vertices will ensure different components or no path, then later revisits the assumption without correcting the earlier drift.",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,hmmt25,hmmt25-11,hmmt25:hmmt25-11,64,1,1,15619,86368,no,0,0,none,case_analysis,0,stable,yes,high,,The reasoning is consistent and follows a clear case analysis strategy without any breaks in the active state.,none,0,0,0,0,0,0,0
