domain,dataset,problem_id,problem_key,run_index,is_correct,parse_ok,think_chars,think_total_chars,raw_knot_present,raw_knot_severity,raw_primary_trigger,raw_trace_strategy,raw_reversal_count,raw_state_consistency,raw_recovers_later,raw_annotator_confidence,raw_knot_quote,raw_open_diagnosis,raw_knot_symptoms,protocol_filter,knot_present,knot_present_bin,knot_severity,primary_trigger,trace_strategy,reversal_count,state_consistency,recovers_later,annotator_confidence,knot_quote,open_diagnosis,knot_symptoms,knot_count,sym_case_split_instability,sym_assumption_drift,sym_subgoal_frame_loss,sym_variable_binding_drift,sym_invariant_drift,sym_repair_without_recovery
math,aime24,70,aime24:70,37,0,1,15618,83833,yes,2.0,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"Let me denote E as (e, 0), where e is between 0 and 107 or maybe beyond. But let's suppose it's between D and C first.","The model initially assigns a variable 'e' to represent the x-coordinate of point E, but later revisits the possibility of 'e' being beyond the range of 0 to 107, creating a variable binding drift.",variable_binding_drift|repair_without_recovery,setup_search,no,0,0,none,symbolic_manipulation,1.0,recovered_break,yes,medium,"Let me denote E as (e, 0), where e is between 0 and 107 or maybe beyond. But let's suppose it's between D and C first.","The model initially assigns a variable 'e' to represent the x-coordinate of point E, but later revisits the possibility of 'e' being beyond the range of 0 to 107, creating a variable binding drift.",none,0,0,0,0,0,0,0
math,aime24,70,aime24:70,41,1,1,15617,30070,yes,2.0,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"Let me set D at (0, 0). Then since DC is horizontal, point C would be at (c, 0) for some c. Then, since ABCD is a rectangle, AD is vertical. So point A would be at (0, y) and point B would be at (c, y). Wait, but AB would be horizontal. Let me check:","The model initially assigns coordinates to points in a way that leads to a contradiction, then attempts to correct the mistake but does not fully resolve the inconsistency.",variable_binding_drift|repair_without_recovery,setup_search,no,0,0,none,symbolic_manipulation,1.0,recovered_break,yes,medium,"Let me set D at (0, 0). Then since DC is horizontal, point C would be at (c, 0) for some c. Then, since ABCD is a rectangle, AD is vertical. So point A would be at (0, y) and point B would be at (c, y). Wait, but AB would be horizontal. Let me check:","The model initially assigns coordinates to points in a way that leads to a contradiction, then attempts to correct the mistake but does not fully resolve the inconsistency.",none,0,0,0,0,0,0,0
math,aime24,70,aime24:70,47,0,1,15618,66021,yes,2.0,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"Let me set point A at (0, 0). Then AB is horizontal with length 107, so point B is at (107, 0). Then BC = 16, so from point B, moving vertically (assuming BC is vertical) to point C. So point C would be (x + 107, y + 16). Then point D would be (x, y + 16), since in a rectangle, opposite sides are equal and parallel. Wait, but we have D connected to C and to A. Wait, if ABCD is a rectangle, then the order of the letters is important. ABCD is a rectangle, so the sides are AB, BC, CD, DA.","The model initially assigns coordinates to points A, B, and C based on the assumption that AB is horizontal and BC is vertical. However, it then realizes that the order of the vertices in the rectangle ABCD is important, which introduces a variable binding drift. The model corrects this by reassigning coordinates, but the instability in the active state is noticeable.",variable_binding_drift|repair_without_recovery,setup_search,no,0,0,none,symbolic_manipulation,1.0,recovered_break,yes,medium,"Let me set point A at (0, 0). Then AB is horizontal with length 107, so point B is at (107, 0). Then BC = 16, so from point B, moving vertically (assuming BC is vertical) to point C. So point C would be (x + 107, y + 16). Then point D would be (x, y + 16), since in a rectangle, opposite sides are equal and parallel. Wait, but we have D connected to C and to A. Wait, if ABCD is a rectangle, then the order of the letters is important. ABCD is a rectangle, so the sides are AB, BC, CD, DA.","The model initially assigns coordinates to points A, B, and C based on the assumption that AB is horizontal and BC is vertical. However, it then realizes that the order of the vertices in the rectangle ABCD is important, which introduces a variable binding drift. The model corrects this by reassigning coordinates, but the instability in the active state is noticeable.",none,0,0,0,0,0,0,0
math,aime24,70,aime24:70,50,1,1,15619,34518,yes,2.0,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"Let me take point A at (0, 0). Then, since AB = 107, point B would be at (107, 0). Then BC = 16, so moving up from B, point C would be at (107, 16). Then, since it's a rectangle, point D would be at (0, 16). Wait, but then DC would be from D(0,16) to C(107,16), which is length 107, same as AB. And AD is from A(0,0) to D(0,16), which is length 16, same as BC. So that works. So rectangle ABCD has coordinates A(0,0), B(107,0), C(107,16), D(0,16). Wait, but then D is at (0,16), C is at (107,16). Then, points D, E, C are collinear. So D(0,16), E, and C(107,16) lie on a straight line. Since D and C are both on y = 16, so the line DC is horizontal. Therefore, E must also lie on the line y = 16. So E is somewhere on the line y = 16. But E is a vertex of rectangle EFGH. Also, the rectangle EFGH has sides EF = 184 and FG = 17. So, need to figure out coordinates of EFGH.","The model initially assigns coordinates to points A, B, C, and D, but then revisits and corrects the coordinates, leading to a temporary confusion about the positions of points D and C. This confusion is later resolved, but it indicates a moment of instability in the active state.",variable_binding_drift|repair_without_recovery,accepted_math,yes,1,2,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"Let me take point A at (0, 0). Then, since AB = 107, point B would be at (107, 0). Then BC = 16, so moving up from B, point C would be at (107, 16). Then, since it's a rectangle, point D would be at (0, 16). Wait, but then DC would be from D(0,16) to C(107,16), which is length 107, same as AB. And AD is from A(0,0) to D(0,16), which is length 16, same as BC. So that works. So rectangle ABCD has coordinates A(0,0), B(107,0), C(107,16), D(0,16). Wait, but then D is at (0,16), C is at (107,16). Then, points D, E, C are collinear. So D(0,16), E, and C(107,16) lie on a straight line. Since D and C are both on y = 16, so the line DC is horizontal. Therefore, E must also lie on the line y = 16. So E is somewhere on the line y = 16. But E is a vertex of rectangle EFGH. Also, the rectangle EFGH has sides EF = 184 and FG = 17. So, need to figure out coordinates of EFGH.","The model initially assigns coordinates to points A, B, C, and D, but then revisits and corrects the coordinates, leading to a temporary confusion about the positions of points D and C. This confusion is later resolved, but it indicates a moment of instability in the active state.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime24,87,aime24:87,3,1,1,15618,59920,yes,2.0,assumption_tracking,symbolic_manipulation,1.0,recovered_break,yes,medium,"Therefore, these four equations must hold. Therefore, we have four congruences: 1. 1000 + (N - 1000A) ≡ 0 mod 7? Wait, no. Wait, N is 1000A + 100B + 10C + D. So changing A to 1 gives 1000*1 + 100B + 10C + D = 1000 + (N - 1000A). Therefore, N ≡ 1000A - 1000 mod 7. Which simplifies to N ≡ 1000(A - 1) mod 7. Similarly for other equations. Maybe this approach is too convoluted. Let me think again.","The model drifts from the initial assumption that N ≡ 1000A - 1000 mod 7 to a new assumption without proper justification, leading to a repair without recovery. The model later corrects this by revisiting the original assumption.",assumption_drift|repair_without_recovery,accepted_math,yes,1,2,assumption_tracking,symbolic_manipulation,1.0,recovered_break,yes,medium,"Therefore, these four equations must hold. Therefore, we have four congruences: 1. 1000 + (N - 1000A) ≡ 0 mod 7? Wait, no. Wait, N is 1000A + 100B + 10C + D. So changing A to 1 gives 1000*1 + 100B + 10C + D = 1000 + (N - 1000A). Therefore, N ≡ 1000A - 1000 mod 7. Which simplifies to N ≡ 1000(A - 1) mod 7. Similarly for other equations. Maybe this approach is too convoluted. Let me think again.","The model drifts from the initial assumption that N ≡ 1000A - 1000 mod 7 to a new assumption without proper justification, leading to a repair without recovery. The model later corrects this by revisiting the original assumption.",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,aime24,87,aime24:87,11,0,1,15619,71732,yes,2.0,assumption_tracking,symbolic_manipulation,1.0,recovered_break,yes,medium,"Therefore, these are the same as before. Let me try to solve these equations again for A=8, B=8, C=8, D=8.","The model drifted from the correct assumption that N ≡ 0 mod 7 and attempted to solve for N ≡ 5 mod 7, leading to a repair without recovery. This was corrected later.",assumption_drift|repair_without_recovery,accepted_math,yes,1,2,assumption_tracking,symbolic_manipulation,1.0,recovered_break,yes,medium,"Therefore, these are the same as before. Let me try to solve these equations again for A=8, B=8, C=8, D=8.","The model drifted from the correct assumption that N ≡ 0 mod 7 and attempted to solve for N ≡ 5 mod 7, leading to a repair without recovery. This was corrected later.",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,aime24,87,aime24:87,34,0,1,15619,71284,yes,2.0,assumption_tracking,symbolic_manipulation,1.0,recovered_break,yes,medium,"Therefore, N ≡ -1000(1 - A) mod 7. Similarly, we can write similar congruences for the other conditions.","The model drifts from the assumption that N ≡ -1000(1 - A) mod 7 to writing similar congruences without specifying the correct form for each. This leads to a repair without recovery, as the subsequent congruences are not correctly derived.",assumption_drift|repair_without_recovery,accepted_math,yes,1,2,assumption_tracking,symbolic_manipulation,1.0,recovered_break,yes,medium,"Therefore, N ≡ -1000(1 - A) mod 7. Similarly, we can write similar congruences for the other conditions.","The model drifts from the assumption that N ≡ -1000(1 - A) mod 7 to writing similar congruences without specifying the correct form for each. This leads to a repair without recovery, as the subsequent congruences are not correctly derived.",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,aime24,87,aime24:87,57,1,1,15620,54234,yes,2.0,assumption_tracking,symbolic_manipulation,1.0,recovered_break,yes,medium,"Therefore, if all four hold, then they are equal. Therefore, for example, -6*(1 - d1) ≡ -2*(1 - d2) mod7. Which led me to 3*(1 - d1) ≡ (1 - d2) mod7. But maybe I made a mistake in the algebra here?","The model drifted from the assumption that all congruences must be equal and attempted to equate them algebraically, leading to a confusion in the algebraic manipulation. The model later corrected this by revisiting the assumptions and rederiving the equations.",assumption_drift|repair_without_recovery,accepted_math,yes,1,2,assumption_tracking,symbolic_manipulation,1.0,recovered_break,yes,medium,"Therefore, if all four hold, then they are equal. Therefore, for example, -6*(1 - d1) ≡ -2*(1 - d2) mod7. Which led me to 3*(1 - d1) ≡ (1 - d2) mod7. But maybe I made a mistake in the algebra here?","The model drifted from the assumption that all congruences must be equal and attempted to equate them algebraically, leading to a confusion in the algebraic manipulation. The model later corrected this by revisiting the assumptions and rederiving the equations.",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,aime25,19,aime25:19,26,0,1,15619,79713,yes,2.0,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"BD is the median from B, since it's from B to D, midpoint of AC? BD is from B to D, D is midpoint of BC, so BD is not a median.","The model incorrectly identifies BD as a median due to a confusion in the definition of medians. This confusion leads to a repair without recovery, as the model attempts to correct the error but does not fully resolve the inconsistency.",variable_binding_drift|repair_without_recovery,accepted_math,yes,1,2,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"BD is the median from B, since it's from B to D, midpoint of AC? BD is from B to D, D is midpoint of BC, so BD is not a median.","The model incorrectly identifies BD as a median due to a confusion in the definition of medians. This confusion leads to a repair without recovery, as the model attempts to correct the error but does not fully resolve the inconsistency.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime25,19,aime25:19,54,1,1,15618,80327,yes,2.0,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"But in the triangle DEF, angle at F is between points D,F,E, so yes, it subtends arc DE.","The model incorrectly assumes that the angle at F in triangle DEF subtends arc DE, which is a variable binding drift. This is later corrected.",variable_binding_drift|repair_without_recovery,accepted_math,yes,1,2,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"But in the triangle DEF, angle at F is between points D,F,E, so yes, it subtends arc DE.","The model incorrectly assumes that the angle at F in triangle DEF subtends arc DE, which is a variable binding drift. This is later corrected.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime25,19,aime25:19,55,1,1,15618,57030,yes,2.0,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"Now, the direction: I need to order the points. Assuming the triangle is oriented, say counterclockwise. So, from A to B to C. Arc AB = 72°, arc BC = 168°, arc CA = 120°. So, from A to B is 72°, then B to C is 168°, so from A to C directly would be arc AB + arc BC = 72+168=240°, but arc CA is given as 120°, which is the minor arc? No, in the circle, the arcs between points.","The model initially assumes a counterclockwise orientation for the triangle, but then questions whether the given arc CA is a minor arc, indicating a confusion in the active state. This confusion is later resolved by clarifying the minor arc definition.",variable_binding_drift|repair_without_recovery,accepted_math,yes,1,2,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"Now, the direction: I need to order the points. Assuming the triangle is oriented, say counterclockwise. So, from A to B to C. Arc AB = 72°, arc BC = 168°, arc CA = 120°. So, from A to B is 72°, then B to C is 168°, so from A to C directly would be arc AB + arc BC = 72+168=240°, but arc CA is given as 120°, which is the minor arc? No, in the circle, the arcs between points.","The model initially assumes a counterclockwise orientation for the triangle, but then questions whether the given arc CA is a minor arc, indicating a confusion in the active state. This confusion is later resolved by clarifying the minor arc definition.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime25,19,aime25:19,56,0,1,15617,92803,yes,2.0,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"Now, the arcs between D,E,F: arc DE = 72°, arc EF = 120°, arc FD = 120°? FD is arc FD, but in order.","The model incorrectly identifies the order of the arcs, leading to confusion and a need for correction.",variable_binding_drift|repair_without_recovery,accepted_math,yes,1,2,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"Now, the arcs between D,E,F: arc DE = 72°, arc EF = 120°, arc FD = 120°? FD is arc FD, but in order.","The model incorrectly identifies the order of the arcs, leading to confusion and a need for correction.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime25,8,aime25:8,8,1,1,15618,48459,no,0.0,none,symbolic_manipulation,0.0,stable,no,high,,"The reasoning provided is consistent and maintains a stable control of the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,raw_no,no,0,0,none,symbolic_manipulation,0.0,stable,no,high,,"The reasoning provided is consistent and maintains a stable control of the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,0,0,0,0,0,0,0
math,aime25,8,aime25:8,50,0,0,15619,61499,,,,,,,,,,,none,raw_no,no,0,0,none,,,,,,,,none,0,0,0,0,0,0,0
math,aime25,8,aime25:8,58,1,1,15618,41841,no,0.0,none,symbolic_manipulation,0.0,stable,no,high,,"The reasoning provided is consistent and maintains a stable control of the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,raw_no,no,0,0,none,symbolic_manipulation,0.0,stable,no,high,,"The reasoning provided is consistent and maintains a stable control of the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,0,0,0,0,0,0,0
math,aime25,8,aime25:8,60,0,1,15618,59210,yes,2.0,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,"Let me denote the original coordinates as (x, y) and the rotated coordinates as (x', y').","The model introduces new symbols (x', y') without clearly defining their relationship to the original coordinates (x, y), leading to confusion and a need for later clarification.",variable_binding_drift|repair_without_recovery,setup_search,no,0,0,none,symbolic_manipulation,1.0,recovered_break,yes,medium,"Let me denote the original coordinates as (x, y) and the rotated coordinates as (x', y').","The model introduces new symbols (x', y') without clearly defining their relationship to the original coordinates (x, y), leading to confusion and a need for later clarification.",none,0,0,0,0,0,0,0
math,brumo25,brumo25-28,brumo25:brumo25-28,20,1,1,15619,33935,no,0.0,none,symbolic_manipulation,0.0,stable,no,high,,The reasoning is consistent and maintains a stable control of the active assumptions and symbols throughout.,none,raw_no,no,0,0,none,symbolic_manipulation,0.0,stable,no,high,,The reasoning is consistent and maintains a stable control of the active assumptions and symbols throughout.,none,0,0,0,0,0,0,0
math,brumo25,brumo25-28,brumo25:brumo25-28,29,0,1,15619,51439,no,0.0,none,symbolic_manipulation,0.0,stable,no,high,,The reasoning is consistent and maintains a stable active state throughout.,none,raw_no,no,0,0,none,symbolic_manipulation,0.0,stable,no,high,,The reasoning is consistent and maintains a stable active state throughout.,none,0,0,0,0,0,0,0
math,brumo25,brumo25-28,brumo25:brumo25-28,39,1,1,15619,51864,no,0.0,none,symbolic_manipulation,0.0,stable,no,high,,The reasoning provided is consistent and maintains a stable control of the active assumptions and symbols throughout.,none,raw_no,no,0,0,none,symbolic_manipulation,0.0,stable,no,high,,The reasoning provided is consistent and maintains a stable control of the active assumptions and symbols throughout.,none,0,0,0,0,0,0,0
math,brumo25,brumo25-28,brumo25:brumo25-28,58,0,1,15618,64795,yes,2.0,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,1/[n(n+1)]² = A/n + B/n² + C/(n+1) + D/(n+1)²,"The model attempted to perform a partial fraction decomposition but made an error in setting the variable n to -1, which is not valid for the given expression. This caused a variable binding drift and a repair without recovery, but the model corrected the mistake later in the reasoning.",variable_binding_drift|repair_without_recovery,accepted_math,yes,1,2,symbol_binding,symbolic_manipulation,1.0,recovered_break,yes,medium,1/[n(n+1)]² = A/n + B/n² + C/(n+1) + D/(n+1)²,"The model attempted to perform a partial fraction decomposition but made an error in setting the variable n to -1, which is not valid for the given expression. This caused a variable binding drift and a repair without recovery, but the model corrected the mistake later in the reasoning.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,hmmt25,hmmt25-11,hmmt25:hmmt25-11,2,1,1,15618,68921,no,0.0,none,case_analysis,0.0,stable,no,high,,"The reasoning provided is consistent and maintains a stable control of the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,raw_no,no,0,0,none,case_analysis,0.0,stable,no,high,,"The reasoning provided is consistent and maintains a stable control of the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,0,0,0,0,0,0,0
math,hmmt25,hmmt25-11,hmmt25:hmmt25-11,28,0,1,15616,85579,no,0.0,none,case_analysis,0.0,stable,yes,high,,"The reasoning provided is consistent and maintains a stable control over the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,raw_no,no,0,0,none,case_analysis,0.0,stable,yes,high,,"The reasoning provided is consistent and maintains a stable control over the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,0,0,0,0,0,0,0
math,hmmt25,hmmt25-11,hmmt25:hmmt25-11,48,0,1,15618,94249,yes,2.0,repair_loop,patchy_backtracking,1.0,recovered_break,yes,medium,But perhaps the number is 25 or something.,"The model revisits the calculation of the number of ways without a clear resolution, leading to an inconsistency in the reasoning.",repair_without_recovery,accepted_math,yes,1,2,repair_loop,patchy_backtracking,1.0,recovered_break,yes,medium,But perhaps the number is 25 or something.,"The model revisits the calculation of the number of ways without a clear resolution, leading to an inconsistency in the reasoning.",repair_without_recovery,1,0,0,0,0,0,1
math,hmmt25,hmmt25-11,hmmt25:hmmt25-11,64,1,1,15619,86368,no,0.0,none,case_analysis,0.0,stable,no,high,,The reasoning provided is consistent and maintains a stable active state throughout.,none,raw_no,no,0,0,none,case_analysis,0.0,stable,no,high,,The reasoning provided is consistent and maintains a stable active state throughout.,none,0,0,0,0,0,0,0
